id,total
1,5.35
2,5.35
3,5.35
4,5.35
5,5.35
6,5.35
7,10.7
8,5.35
9,5.35
10,5.35
11,4.75
12,6.85
13,9.5
14,9.5
15,5.35
16,4.75
17,5.35
18,9.5
19,5.35
20,5.35
21,9.5
22,10.7
23,14.25
24,5.35
25,4.75
26,4.75
27,14.25
28,9.5
29,4.75
30,10.7
31,5.35
32,5.35
33,5.35
34,4.75
35,5.35
36,10.7
37,4.75
38,10.7
39,10.7
40,5.35
41,5.35
42,5.35
43,5.35
44,5.35
45,2.1
46,2.1
47,4.2
48,4.2
49,4.2
50,5.35
51,4.75
52,4.75
53,5.35
54,2.1
55,5.35
56,5.35
57,5.35
58,5.35
59,5.35
60,10.7
61,5.35
62,5.35
63,5.35
64,5.35
65,5.35
66,5.35
67,5.35
68,4.75
69,4.75
70,9.5
71,5.35
72,5.35
73,4.75
74,5.35
75,4.75
76,9.5
77,9.5
78,5.35
79,14.25
80,5.35
81,10.7
82,9.5
83,4.75
84,5.35
85,4.75
86,4.75
87,10.7
88,4.75
89,14.25
90,9.5
91,4.75
92,4.75
93,5.35
94,9.5
95,5.35
96,10.7
97,10.7
98,5.35
99,4.75
100,4.75
101,4.75
102,4.75
103,3.75
104,5.35
105,5.35
106,4.75
107,4.75
108,5.35
109,2.1
110,10.7
111,5.35
112,5.35
113,5.35
114,5.35
115,5.35
116,5.35
117,5.35
118,5.35
119,5.35
120,10.7
121,5.35
122,5.35
123,5.35
124,5.35
125,5.35
126,5.35
127,4.75
128,5.35
129,5.35
130,3.25
131,9.5
132,5.35
133,5.35
134,5.35
135,5.35
136,9.5
137,10.7
138,14.25
139,10.7
140,5.35
141,5.35
142,5.35
143,5.35
144,10.7
145,4.75
146,4.75
147,10.7
148,4.75
149,14.25
150,10.7
151,4.75
152,5.35
153,5.35
154,5.35
155,5.35
156,4.75
157,9.5
158,10.7
159,10.7
160,5.35
161,10.7
162,4.75
163,4.75
164,4.75
165,5.35
166,5.35
167,5.35
168,5.35
169,5.35
170,4.75
171,2.1
172,2.1
173,2.1
174,2.1
175,4.2
176,2.1
177,4.75
178,5.35
179,4.75
180,10.7
181,5.35
182,10.7
183,5.35
184,5.35
185,5.35
186,5.35
187,5.35
188,5.35
189,5.35
190,5.35
191,5.35
192,5.35
193,5.35
194,5.35
195,5.35
196,5.35
197,5.35
198,5.35
199,9.5
200,4.75
201,4.75
202,6.85
203,9.5
204,5.35
205,5.35
206,5.35
207,5.35
208,5.35
209,5.35
210,14.25
211,5.35
212,4.75
213,10.7
214,14.25
215,5.35
216,10.7
217,9.5
218,4.75
219,5.35
220,4.75
221,4.75
222,4.75
223,4.75
224,9.5
225,5.35
226,9.5
227,4.75
228,5.35
229,10.7
230,4.75
231,5.35
232,5.35
233,4.75
234,5.35
235,9.5
236,10.7
237,14.25
238,5.35
239,10.7
240,10.7
241,5.35
242,10.7
243,4.75
244,4.75
245,3.75
246,5.35
247,5.35
248,5.35
249,5.35
250,5.35
251,2.1
252,2.1
253,2.1
254,2.1
255,4.2
256,4.2
257,4.2
258,2.1
259,5.35
260,10.7
261,5.35
262,5.35
263,5.35
264,5.35
265,5.35
266,5.35
267,5.35
268,5.35
269,5.35
270,5.35
271,10.7
272,5.35
273,5.35
274,5.35
275,5.35
276,5.35
277,5.35
278,5.35
279,5.35
280,5.35
281,5.35
282,4.75
283,4.75
284,3.25
285,5.35
286,5.35
287,4.75
288,3.25
289,5.35
290,9.5
291,5.35
292,5.35
293,4.75
294,5.35
295,14.25
296,5.35
297,9.5
298,5.35
299,4.75
300,14.25
301,5.35
302,10.7
303,5.35
304,5.35
305,4.75
306,10.7
307,4.75
308,4.75
309,10.7
310,4.75
311,9.5
312,4.75
313,10.7
314,9.5
315,5.35
316,5.35
317,10.7
318,5.35
319,5.35
320,5.35
321,5.35
322,10.7
323,10.7
324,5.35
325,10.7
326,10.7
327,5.35
328,4.75
329,4.75
330,4.75
331,5.35
332,3.75
333,5.35
334,5.35
335,4.75
336,5.35
337,5.35
338,4.75
339,4.75
340,5.35
341,2.1
342,2.1
343,2.1
344,2.1
345,2.1
346,2.1
347,4.2
348,4.2
349,4.2
350,4.2
351,4.75
352,5.35
353,10.7
354,5.35
355,5.35
356,5.35
357,5.35
358,5.35
359,5.35
360,5.35
361,5.35
362,5.35
363,5.35
364,5.35
365,5.35
366,5.35
367,5.35
368,5.35
369,5.35
370,5.35
371,10.7
372,5.35
373,5.35
374,5.35
375,5.35
376,5.35
377,5.35
378,5.35
379,5.35
380,5.35
381,5.35
382,5.35
383,5.35
384,5.35
385,5.35
386,9.5
387,4.75
388,4.75
389,9.5
390,6.85
391,9.5
392,3.25
393,5.35
394,4.75
395,3.25
396,5.35
397,9.5
398,5.35
399,5.35
400,9.5
401,5.35
402,9.5
403,5.35
404,4.75
405,9.5
406,10.7
407,14.25
408,5.35
409,5.35
410,5.35
411,5.35
412,4.75
413,5.35
414,5.35
415,4.75
416,4.75
417,4.75
418,4.75
419,9.5
420,4.75
421,10.7
422,5.35
423,9.5
424,5.35
425,4.75
426,5.35
427,10.7
428,4.75
429,5.35
430,4.75
431,9.5
432,10.7
433,10.7
434,14.25
435,5.35
436,10.7
437,4.75
438,4.75
439,4.75
440,5.35
441,5.35
442,5.35
443,5.35
444,4.75
445,5.35
446,4.75
447,4.75
448,5.35
449,2.1
450,2.1
451,2.1
452,2.1
453,2.1
454,4.2
455,4.2
456,4.2
457,4.2
458,2.1
459,5.35
460,5.35
461,5.35
462,5.35
463,5.35
464,5.35
465,5.35
466,5.35
467,5.35
468,5.35
469,5.35
470,5.35
471,5.35
472,5.35
473,5.35
474,5.35
475,10.7
476,5.35
477,5.35
478,5.35
479,5.35
480,5.35
481,5.35
482,5.35
483,5.35
484,5.35
485,5.35
486,5.35
487,5.35
488,5.35
489,9.5
490,9.5
491,4.75
492,7.4
493,9.5
494,3.25
495,5.35
496,5.35
497,5.35
498,4.75
499,5.35
500,5.35
501,5.35
502,5.35
503,9.5
504,14.25
505,5.35
506,9.5
507,10.7
508,5.35
509,10.7
510,5.35
511,5.35
512,9.5
513,5.35
514,4.75
515,4.75
516,4.75
517,4.75
518,9.5
519,4.75
520,5.35
521,9.5
522,5.35
523,9.5
524,4.75
525,10.7
526,5.35
527,5.35
528,10.7
529,4.75
530,10.7
531,14.25
532,5.35
533,10.7
534,10.7
535,4.75
536,4.75
537,5.35
538,5.35
539,5.35
540,5.35
541,5.35
542,4.75
543,5.35
544,5.35
545,4.75
546,2.1
547,2.1
548,2.1
549,2.1
550,2.1
551,4.2
552,4.2
553,4.2
554,4.2
555,2.1
556,4.75
557,5.35
558,5.35
559,4.75
560,5.35
561,4.2
562,5.35
563,5.35
564,5.35
565,4.75
566,2.1
567,5.35
568,5.35
569,5.35
570,5.35
571,5.35
572,5.35
573,5.35
574,5.35
575,5.35
576,5.35
577,10.7
578,5.35
579,5.35
580,5.35
581,5.35
582,5.35
583,5.35
584,5.35
585,5.35
586,5.35
587,5.35
588,5.35
589,5.35
590,5.35
591,9.5
592,9.5
593,4.75
594,7.4
595,9.5
596,3.25
597,5.35
598,5.35
599,5.35
600,5.35
601,4.75
602,5.35
603,3.25
604,5.35
605,5.35
606,14.25
607,5.35
608,4.75
609,5.35
610,9.5
611,14.25
612,9.5
613,9.5
614,10.7
615,5.35
616,5.35
617,4.75
618,5.35
619,10.7
620,4.75
621,4.75
622,4.75
623,10.7
624,14.25
625,10.7
626,5.35
627,9.5
628,5.35
629,5.35
630,5.35
631,10.7
632,10.7
633,14.25
634,5.35
635,10.7
636,4.75
637,4.75
638,4.75
639,4.75
640,5.35
641,3.75
642,5.35
643,5.35
644,5.35
645,5.35
646,4.75
647,5.35
648,4.75
649,5.35
650,2.1
651,2.1
652,2.1
653,2.1
654,2.1
655,2.1
656,2.1
657,4.2
658,4.2
659,4.2
660,4.2
661,2.1
662,4.2
663,5.35
664,5.35
665,4.75
666,4.2
667,9.5
668,5.35
669,3.75
670,5.35
671,5.35
672,5.35
673,5.35
674,5.35
675,5.35
676,5.35
677,5.35
678,5.35
679,5.35
680,5.35
681,5.35
682,5.35
683,5.35
684,10.7
685,5.35
686,5.35
687,5.35
688,5.35
689,5.35
690,5.35
691,5.35
692,5.35
693,5.35
694,5.35
695,9.5
696,4.75
697,4.75
698,4.75
699,6.85
700,7.4
701,9.5
702,9.5
703,5.35
704,5.35
705,5.35
706,5.35
707,5.35
708,9.5
709,5.35
710,14.25
711,5.35
712,5.35
713,14.25
714,5.35
715,4.75
716,9.5
717,10.7
718,10.7
719,5.35
720,5.35
721,9.5
722,5.35
723,4.75
724,4.75
725,4.75
726,4.75
727,4.75
728,14.25
729,9.5
730,10.7
731,5.35
732,4.75
733,5.35
734,10.7
735,4.75
736,5.35
737,5.35
738,4.75
739,9.5
740,4.75
741,10.7
742,14.25
743,10.7
744,4.75
745,4.75
746,4.75
747,4.75
748,5.35
749,3.75
750,5.35
751,5.35
752,5.35
753,5.35
754,5.35
755,4.75
756,4.75
757,2.1
758,4.2
759,4.2
760,4.2
761,2.1
762,5.35
763,10.7
764,5.35
765,5.35
766,5.35
767,5.35
768,5.35
769,5.35
770,5.35
771,5.35
772,5.35
773,5.35
774,10.7
775,5.35
776,5.35
777,5.35
778,5.35
779,5.35
780,5.35
781,5.35
782,5.35
783,5.35
784,5.35
785,5.35
786,5.35
787,5.35
788,5.35
789,5.35
790,5.35
791,9.5
792,4.75
793,4.75
794,9.5
795,4.75
796,7.4
797,9.5
798,3.25
799,5.35
800,5.35
801,5.35
802,4.75
803,5.35
804,3.25
805,9.5
806,5.35
807,14.25
808,5.35
809,5.35
810,4.75
811,9.5
812,5.35
813,9.5
814,9.5
815,5.35
816,10.7
817,5.35
818,5.35
819,5.35
820,5.35
821,5.35
822,10.7
823,4.75
824,4.75
825,4.75
826,4.75
827,10.7
828,4.75
829,14.25
830,9.5
831,4.75
832,10.7
833,4.75
834,5.35
835,5.35
836,4.75
837,5.35
838,5.35
839,9.5
840,10.7
841,10.7
842,5.35
843,10.7
844,10.7
845,5.35
846,4.75
847,4.75
848,4.75
849,4.75
850,3.75
851,5.35
852,5.35
853,5.35
854,5.35
855,5.35
856,4.75
857,5.35
858,5.35
859,2.1
860,2.1
861,2.1
862,2.1
863,2.1
864,4.2
865,4.2
866,4.2
867,2.1
868,10.7
869,9.5
870,5.35
871,4.75
872,5.35
873,10.7
874,2.1
875,10.7
876,5.35
877,5.35
878,5.35
879,5.35
880,5.35
881,5.35
882,5.35
883,5.35
884,5.35
885,5.35
886,5.35
887,5.35
888,5.35
889,5.35
890,5.35
891,5.35
892,5.35
893,5.35
894,5.35
895,5.35
896,5.35
897,5.35
898,5.35
899,5.35
900,5.35
901,5.35
902,5.35
903,5.35
904,5.35
905,4.75
906,4.75
907,6.85
908,7.4
909,5.35
910,5.35
911,5.35
912,5.35
913,4.75
914,5.35
915,3.25
916,5.35
917,9.5
918,5.35
919,14.25
920,5.35
921,5.35
922,4.75
923,5.35
924,9.5
925,14.25
926,5.35
927,9.5
928,5.35
929,4.75
930,9.5
931,14.25
932,5.35
933,10.7
934,5.35
935,5.35
936,5.35
937,9.5
938,4.75
939,5.35
940,10.7
941,4.75
942,4.75
943,4.75
944,4.75
945,10.7
946,4.75
947,9.5
948,4.75
949,5.35
950,9.5
951,5.35
952,9.5
953,5.35
954,4.75
955,5.35
956,5.35
957,5.35
958,4.75
959,9.5
960,10.7
961,10.7
962,4.75
963,10.7
964,14.25
965,5.35
966,10.7
967,10.7
968,4.75
969,4.75
970,4.75
971,3.75
972,5.35
973,5.35
974,5.35
975,5.35
976,4.75
977,5.35
978,5.35
979,4.75
980,5.35
