date,quantity,total
2020-01-15,2,5.35
2020-01-16,2,5.35
2020-01-17,2,5.35
2020-01-18,2,5.35
2020-01-19,4,10.7
2020-01-20,6,14.25
2020-01-22,6,14.85
2020-01-23,8,20.8
2020-01-25,16,40.4
2020-01-26,2,5.35
2020-01-27,4,9.5
2020-01-28,13,30.6
2020-01-29,10,23.2
2020-01-31,2,5.35
2020-02-15,6,16.05
2020-02-16,4,10.7
2020-02-19,2,5.35
2020-02-20,2,4.75
2020-02-21,2,4.75
2020-02-22,2,5.35
2020-02-23,4,10.1
2020-02-24,12,28.5
2020-02-25,18,45.2
2020-02-27,12,29.1
2020-02-28,16,38.0
2020-03-16,2,5.35
2020-03-18,4,10.7
2020-03-19,4,10.7
2020-03-20,2,4.75
2020-03-21,10,23.75
2020-03-22,10,24.35
2020-03-23,10,25.55
2020-03-24,18,44.55
2020-03-25,8,19.05
2020-03-27,14,36.25
2020-03-28,12,28.5
2020-03-29,14,32.7
2020-03-30,4,10.1
2020-03-31,2,5.35
2020-04-15,4,10.7
2020-04-16,2,5.35
2020-04-18,2,5.35
2020-04-19,2,5.35
2020-04-20,6,14.25
2020-04-21,16,38.0
2020-04-22,4,10.1
2020-04-23,6,15.45
2020-04-24,14,33.25
2020-04-25,12,29.75
2020-04-26,6,14.25
2020-04-27,10,26.15
2020-04-28,19,44.85
2020-04-29,21,49.6
2020-04-30,2,4.75
2020-05-15,6,16.05
2020-05-16,6,16.05
2020-05-17,2,5.35
2020-05-18,4,10.7
2020-05-19,2,5.35
2020-05-20,4,9.5
2020-05-21,10,23.75
2020-05-22,10,24.35
2020-05-23,14,36.85
2020-05-24,28,66.5
2020-05-25,12,30.9
2020-05-26,2,5.35
2020-05-27,24,60.6
2020-05-28,6,13.7
2020-05-29,21,49.6
2020-05-30,4,10.1
2020-05-31,2,4.75
2020-06-15,6,16.05
2020-06-16,2,5.35
2020-06-18,4,10.7
2020-06-19,6,16.05
2020-06-20,6,14.25
2020-06-21,12,28.5
2020-06-22,10,24.35
2020-06-23,12,31.5
2020-06-24,22,53.45
2020-06-25,16,40.4
2020-06-26,12,28.5
2020-06-27,24,60.0
2020-06-28,22,51.7
2020-06-29,27,63.3
2020-07-15,6,16.05
2020-07-16,6,16.05
2020-07-17,2,5.35
2020-07-18,6,16.05
2020-07-19,10,26.75
2020-07-20,8,19.0
2020-07-21,18,42.75
2020-07-22,12,29.7
2020-07-23,14,36.25
2020-07-24,38,92.05
2020-07-25,22,54.7
2020-07-26,14,33.85
2020-07-27,20,51.1
2020-07-28,9,21.1
2020-07-29,26,61.2
2020-07-30,4,9.5
2020-07-31,6,14.85
2020-08-15,6,16.05
2020-08-16,8,21.4
2020-08-18,2,5.35
2020-08-19,6,16.05
2020-08-20,10,23.75
2020-08-21,18,42.75
2020-08-22,10,25.55
2020-08-23,8,20.2
2020-08-24,28,68.3
2020-08-25,12,29.1
2020-08-26,12,28.5
2020-08-27,10,24.95
2020-08-28,26,61.75
2020-08-29,22,51.7
2020-08-30,2,4.75
2020-09-15,6,16.05
2020-09-16,8,21.4
2020-09-18,4,10.7
2020-09-20,6,14.25
2020-09-21,18,42.75
2020-09-22,14,34.45
2020-09-23,12,30.9
2020-09-24,16,39.8
2020-09-25,14,35.1
2020-09-26,12,28.5
2020-09-27,14,36.25
2020-09-28,18,42.75
2020-09-29,21,49.6
2020-10-15,4,10.7
2020-10-16,6,16.05
2020-10-17,2,5.35
2020-10-18,6,16.05
2020-10-19,8,21.4
2020-10-20,10,23.75
2020-10-21,18,42.75
2020-10-22,14,35.05
2020-10-23,10,26.15
2020-10-24,22,54.05
2020-10-25,16,38.05
2020-10-26,8,19.6
2020-10-27,24,61.2
2020-10-28,20,46.95
2020-10-29,27,63.3
2020-10-30,10,24.95
2020-10-31,2,5.35
2020-11-15,8,21.4
2020-11-16,4,10.7
2020-11-18,6,16.05
2020-11-19,8,21.4
2020-11-20,10,23.75
2020-11-21,18,42.75
2020-11-22,16,39.8
2020-11-23,16,41.6
2020-11-24,28,68.3
2020-11-25,18,43.4
2020-11-26,12,28.5
2020-11-27,22,55.25
2020-11-28,26,61.2
2020-11-29,19,44.3
2020-11-30,6,14.25
2020-12-15,6,16.05
2020-12-16,6,16.05
2020-12-18,6,16.05
2020-12-19,6,16.05
2020-12-20,8,19.0
2020-12-21,12,28.5
2020-12-22,14,35.05
2020-12-23,14,36.25
2020-12-24,30,73.05
2020-12-25,20,49.35
2020-12-26,2,5.35
2020-12-27,28,70.7
2020-12-28,26,61.2
2020-12-29,23,53.8
2020-12-31,2,5.35
