month,quantity,total
2020-01-01,79,196.4
2020-02-01,80,197.85
2020-03-01,114,281.65
2020-04-01,126,307.15
2020-05-01,157,389.45
2020-06-01,181,444.1
2020-07-01,221,546.3
2020-08-01,180,440.15
2020-09-01,163,402.5
2020-10-01,207,510.7
2020-11-01,217,532.65
2020-12-01,203,501.8
2021-01-01,21635,69143.29
2021-02-01,18994,61078.52
2021-03-01,21989,70341.68
2021-04-01,22786,73239.34
2021-05-01,26389,84380.19
2021-06-01,26798,85992.97
2021-07-01,25070,80352.15
2021-08-01,24399,78268.07
2021-09-01,23082,73628.74
2021-10-01,26634,84992.13
2021-11-01,28196,90799.53
2021-12-01,26725,85872.4
2022-01-01,22274,71661.51
2022-02-01,19746,63261.64
2022-03-01,22687,72589.37
2022-04-01,35558,113831.08
